epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,6510.33,0.65314,0.46218,1.04332,0.97251,0.93887,0.9288,0.78532,0.65742,0.49634,1.0877,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6603.4,0.64789,0.45495,1.04225,0.93542,0.94585,0.92758,0.7891,0.65845,0.48753,1.0886,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6697.25,0.64349,0.44645,1.0409,0.96756,0.93627,0.93406,0.79323,0.65866,0.48225,1.08957,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6797.98,0.64567,0.44971,1.04195,0.96365,0.93706,0.92854,0.79114,0.65269,0.48299,1.08469,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6894.3,0.64244,0.45002,1.03956,0.94749,0.95142,0.9327,0.79208,0.65515,0.48091,1.0871,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6990.5,0.64838,0.44691,1.04226,0.9604,0.93777,0.93236,0.79076,0.65421,0.48697,1.08545,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,7087.54,0.64169,0.44127,1.04059,0.97079,0.94302,0.93735,0.79527,0.65363,0.48404,1.08517,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7184.54,0.63923,0.43299,1.03917,0.95983,0.95039,0.93887,0.79863,0.65587,0.4804,1.0876,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7283.29,0.64018,0.43778,1.04139,0.96144,0.95108,0.9373,0.79362,0.65606,0.4916,1.08678,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7380.09,0.63995,0.43674,1.03709,0.94965,0.95114,0.93417,0.79213,0.65548,0.49575,1.08773,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7476.62,0.63249,0.42674,1.0359,0.96865,0.94354,0.93244,0.79073,0.65389,0.49086,1.08603,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,7575.25,0.63222,0.42565,1.03756,0.96144,0.94325,0.93435,0.79268,0.65206,0.49242,1.08387,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,7673.71,0.6302,0.42827,1.03786,0.96293,0.94301,0.93616,0.7953,0.65133,0.48816,1.08396,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,7769.77,0.62687,0.41615,1.03501,0.95773,0.94608,0.93311,0.78965,0.65174,0.48675,1.0837,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,7867.35,0.63217,0.42678,1.03752,0.96219,0.94619,0.93362,0.79426,0.65159,0.48409,1.08334,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,7964.21,0.62162,0.41727,1.0315,0.96159,0.94496,0.9326,0.79234,0.6506,0.48595,1.08244,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,8062.12,0.62294,0.41042,1.03238,0.96718,0.93756,0.93063,0.78927,0.651,0.48594,1.08261,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,8164.94,0.62605,0.40531,1.03305,0.97072,0.93701,0.93216,0.79223,0.65091,0.48833,1.08302,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,8269.7,0.61917,0.40654,1.03298,0.95413,0.95072,0.93307,0.7921,0.65216,0.49044,1.0838,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,8372.27,0.61959,0.40447,1.03263,0.95335,0.94728,0.93457,0.79588,0.65212,0.49046,1.08413,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,8476.73,0.6132,0.39461,1.02891,0.95408,0.94978,0.93478,0.79524,0.65322,0.49285,1.08517,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,8578.61,0.61422,0.39635,1.02998,0.96825,0.93701,0.93117,0.79207,0.65354,0.49535,1.08585,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,8673.87,0.50019,0.21381,1.03332,0.96454,0.93684,0.92933,0.79119,0.65372,0.50135,1.08636,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,8768.15,0.49899,0.20674,1.0337,0.96114,0.94395,0.93128,0.79292,0.65299,0.49962,1.08591,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,8861.53,0.49132,0.2011,1.02662,0.95453,0.94478,0.92857,0.79118,0.65215,0.49661,1.08523,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,8952.29,0.48488,0.19775,1.0267,0.96456,0.93751,0.92899,0.79062,0.65308,0.49732,1.08596,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,9043.44,0.47999,0.19394,1.0247,0.96171,0.93752,0.92916,0.79114,0.6538,0.49838,1.08711,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,9134.47,0.48274,0.19509,1.02024,0.96317,0.93749,0.92977,0.79134,0.6543,0.49817,1.08771,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,9225.92,0.47514,0.19011,1.02432,0.96251,0.94403,0.93194,0.79168,0.65494,0.49676,1.08899,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,9315.93,0.47756,0.18922,1.01803,0.96233,0.94394,0.93161,0.79053,0.65598,0.49418,1.09012,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,9407.4,0.47366,0.18849,1.01892,0.95554,0.95034,0.93191,0.79065,0.65634,0.4941,1.09074,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,9498.2,0.47337,0.18926,1.01886,0.9645,0.94817,0.93386,0.79182,0.65708,0.49459,1.09121,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
